frame_idx,timestamp,ssim_loss,frame_diff_mean,brightness_delta,saturation_delta,optical_flow_magnitude_mean,optical_flow_angle_change,warp_ssim_loss,z_ssim_loss,z_frame_diff_mean,z_brightness_delta,z_saturation_delta,z_optical_flow_magnitude_mean,z_optical_flow_angle_change,z_warp_ssim_loss,instability_score,is_anomaly
54,2.2500000148760333,0.1667940868389528,6.434693930041152,0.4556240354938268,0.7214057677469157,1.4143018,0.6465798,0.23474100045078805,1.8924930441853076,1.6575469008878752,0.9065764162991525,0.6499469055782154,1.379119856166485,0.0,1.4704146346274576,1.3445200127455572,True
55,2.291666681818182,0.10106725794280702,4.666827739197531,0.4417105516975397,1.3187143132715988,1.011739,1.205324,0.16910390701999178,0.2926159992402128,0.38013733939630534,0.8435071703709319,2.2555814886255803,0.0,0.5838127524748479,0.3749767043609923,0.5192978381215078,False
56,2.3333333487603305,0.051882713253696866,2.8888382523148146,0.14016541280864203,0.4659456983024626,0.792843,2.2672913,0.08833704724195246,0.0,0.0,0.0,0.0,0.0,3.355213702718246,0.0,0.2684170962174597,False
57,2.3750000157024793,0.06112847124756493,3.2314340599279836,0.22148148148149005,0.4781515239197489,0.83758366,2.103171,0.10630766003822711,0.0,0.0,0.0,0.0,0.0,2.9269115407048965,0.0,0.23415292325639173,False
58,2.416666682644628,0.03468216553291392,2.284188689557613,0.7796865354938234,1.5287803819444434,0.5521199,1.7561827,0.04984145625764291,0.0,0.0,2.3755383102331433,2.82026342246539,0.0,2.0213807083906206,0.0,0.6248853614917952,False
59,2.458333349586777,0.1485687754105055,6.2294547325102885,0.415605227623459,0.5272333140432011,1.3742127,0.66624886,0.22460928474218445,1.4488651089715008,1.509246925088421,0.7251728172951436,0.12798885043606942,1.2296486549856054,0.0,1.3013232701906285,1.1055866259901563,True
60,2.500000016528926,0.15312846201935004,6.4359469843107,0.15423369984567614,0.360490451388884,1.4820316,0.67764604,0.22316859562482183,1.559853849188385,1.6584523220748852,0.0,0.0,1.631649386221489,0.0,1.2772791600329316,1.1255760108725188,True
61,2.5416666834710746,0.050541291774929054,2.958542952674897,0.10641107253087512,0.009198977623455562,0.7829345,1.946129,0.08282573599985144,0.0,0.0,0.0,0.0,0.0,2.5170808699459184,0.0,0.20136646959567348,False
62,2.5833333504132234,0.19316407366202548,7.682932420267489,0.13637827932097935,0.4841560570987724,1.7335497,0.8095227,0.2551144196429762,2.5343730390409935,2.5594883434560076,0.0,0.012192192224800481,2.569430487249832,0.0,1.810432983792663,1.741052210762593,True
63,2.6250000173553723,0.1326557794195774,5.531040059156378,1.0300419560185219,2.0552391975308666,1.292514,1.5836592,0.19671699708062218,1.061521958088375,1.0045924516621494,3.51038906491968,4.235445721779715,0.9250361510943241,1.5711485697624816,0.8358201793416533,1.5265970189155091,True
64,2.6666666842975206,0.11304784918859045,5.128645190329218,0.1696190200617167,0.24525704089505496,1.2259594,0.8733951,0.177996754418965,0.5842392715159129,0.7138334249907526,0.0,0.0,0.6768886490223536,0.0,0.5233922090660819,0.45646550890818216,False
